city,lon,lat
Los Angeles CA,-118.244476,34.054935
Phoenix AZ,-112.0773456,33.4485866
Houston TX,-95.3676974,29.7589382
Chicago IL,-87.6244212,41.8755546
Las Vegas NV,-115.149225,36.1662859
San Antonio TX,-98.4951405,29.4246002
Columbus OH,-83.0007065,39.9622601
Albuquerque NM,-106.6509851,35.0841034
Austin TX,-97.7436995,30.2711286
Denver CO,-104.9653271,39.7348381
Miami FL,-80.1936589,25.7742658
Tucson AZ,-110.9262353,32.2218917
St. Louis MO,-90.1978889,38.6272733
Oklahoma City OK,-97.5170536,35.4729886
Kansas City MO,-94.5630298,39.0844687
Tulsa OK,-95.9929113,36.1556805
San Francisco CA,-122.4138641,37.7791185
Bakersfield CA,-119.0194639,35.3738712
Indianapolis IN,-86.1583502,39.7683331
Jacksonville FL,-81.655651,30.3321838
Long Beach CA,-118.1580493,33.78538945
Orlando FL,-81.41278419,28.5479786
Charlotte NC,-80.8431268,35.2270869
Mesa AZ,-114.0824451,34.2700153
San Jose CA,-121.9031599,37.3297085
Atlanta GA,-84.3901849,33.7490987
San Diego CA,-117.1627714,32.7174209
Louisville KY,-85.759407,38.2542376
New York NY,-73.9866136,40.7306458
Washington DC,-77.0366456,38.8949549
Dallas TX,-96.7968559,32.7762719
Fresno CA,-119.7088613,36.7295295
Philadelphia PA,-75.1635755,39.9524152
Baltimore MD,-76.610759,39.2908816
Reno NV,-119.8136744,39.52927
Santa Ana CA,-117.8732213,33.7494951
Fort Worth TX,-97.3327459,32.753177
Oakland CA,-122.2713563,37.8044557
Aurora CO,-98.5722461,43.6963371
San Bernardino CA,-117.2897652,34.1083449
Baton Rouge LA,-91.154551,30.4507462
Sacramento CA,-121.4943996,38.5815719
Colorado Springs CO,-104.8253485,38.8339578
Seattle WA,-122.3300624,47.6038321
Milwaukee WI,-87.922497,43.0349931
Omaha NE,-95.9378732,41.2587317
Portland OR,-122.6741949,45.5202471
Pueblo CO,-104.5350145,38.187635
Glendale AZ,-112.4046831,33.558997
Stockton CA,-121.2907796,37.9577016
Billings MT,-108.49607,45.7874957
El Paso TX,-106.5013494,31.8111305
Huntsville AL,-86.804219,33.554113
New Orleans LA,-89.97500545,30.03280175
Tacoma WA,-122.4398746,47.2495798
Boise ID,-116.200835,43.61656
Las Cruces NM,-107.2275523,33.1680687
Norfolk VA,-76.2929252,36.8462923
Tampa FL,-82.4563972,27.9518491
Memphis TN,-90.0516285,35.1490215
St. Paul MN,-93.1015026,44.9504037
Kingman AZ,-114.0530065,35.189443
Arlington TX,-97.10571494,32.701939
Scottsdale AZ,-111.8992365,33.5091215
Springfield MO,-93.2920373,37.2166779
Wichita KS,-97.3375448,37.6922361
Spokane WA,-117.4212265,47.6579425
Tempe AZ,-111.9094474,33.4144139
Cleveland OH,-81.6934446,41.5051613
Westminster CO,-105.0372046,39.8366528
Anchorage AK,-149.8948523,61.2163129
Salt Lake City UT,-111.8904308,40.7670126
Fairbanks AK,-147.716675,64.837845
Hemet CA,-116.9719684,33.7475203
Akron OH,-81.518485,41.083064
Flagstaff AZ,-111.6514259,35.199458
Nashville TN,-86.7743531,36.1622296
Brooklyn NY,-73.9495823,40.6501038
Newark NJ,-74.1723667,40.735657
Fontana CA,-121.9038131,37.3406609
Richmond VA,-77.43428,37.5385087
Birmingham AL,-86.765783,33.570499
Irving TX,-96.9442177,32.8295183
Anaheim CA,-117.911732,33.8347516
Detroit MI,-83.0567375,42.3486635
Little Rock AR,-116.6808162,43.9274092
Modesto CA,-120.9968782,37.6390972
Amarillo TX,-101.8338246,35.2072185
South Gate CA,-118.200981,33.9463456
Cincinnati OH,-84.5124602,39.1014537
Boston MA,-71.0595678,42.3604823
Lakeland FL,-81.9539369,28.0470698
Evansville IN,-87.5558483,37.9747645
Antioch CA,-121.805789,38.0049214
Lynn MA,-70.9494939,42.466763
Shreveport LA,-93.7651944,32.5221828
Pittsburgh PA,-79.9900861,40.4416941
Harrisburg PA,-76.8861122,40.2663107
Sunnyvale CA,-122.0363496,37.3688301
Minneapolis MN,-93.2654692,44.9772995
Gulfport MS,-89.0928155,30.3674198
Van Nuys CA,-118.448729,34.1866581
Ontario CA,-117.6484304,34.065846
Fort Collins CO,-105.0668085,40.5508527
Corpus Christi TX,-97.3955744,27.8002542
Hilo HI,-155.081635,19.707243
Casper WY,-119.07295,35.349404
North Charleston SC,-79.9748103,32.8546197
Fort Wayne IN,-85.1386015,41.0799898
Jurupa Valley CA,-117.4515754,33.9798472
Eau Claire WI,-91.4984941,44.811349
Chattanooga TN,-85.3096801,35.0456297
Greeley CO,-101.8185007,38.4570355
Chico CA,-121.8374777,39.7284945
Northglenn CO,-104.9875529,39.9100858
Eugene OR,-123.0950506,44.0505054
Wilmington DE,-75.546589,39.7459468
Durham NC,-78.9018115,35.9966551
Rapid City SD,-103.228006,44.081176
Laredo TX,-99.5088979,27.5060991
Barstow CA,-117.0172077,34.8957684
Fremont CA,-121.9885719,37.5482697
Bronx NY,-73.84040356,40.85048545
Grand Junction CO,-108.5507317,39.063956
Jackson MS,-82.64282417,39.0462506
Weatherford TX,-97.7970748,32.7589648
Boulder CO,-105.3632079,40.102555
Deltona FL,-81.2636738,28.9005446
Vancouver WA,-122.6744557,45.6306954
Yakima WA,-120.5108421,46.601557
Phenix City AL,-85.0007653,32.4709761
Homewood AL,-86.8008228,33.4717732
Waco TX,-97.1466695,31.549333
Myrtle Beach SC,-78.8900409,33.6956461
Montgomery AL,-78.272415,40.854565
Camden NJ,-75.1198911,39.9448402
Bradenton FL,-82.5633751,27.4724175
Whittier CA,-118.0336975,33.9748932
Elkton MD,-75.8332718,39.6067789
Loveland CO,-105.0749801,40.3977612
Paterson NJ,-74.171811,40.9167654
Atwater CA,-120.609084,37.3477174
Temecula CA,-117.1473661,33.4946353
East Point GA,-84.4393724,33.6795531
Greenville SC,-82.3984882,34.851354
Valdosta GA,-83.2784851,30.8327022
Columbus GA,-84.9877094,32.4609764
Centennial CO,-104.9778308,39.5680644
Garland TX,-96.6388833,32.912624
Ruidoso NM,-105.6730991,33.3315804
West Jordan UT,-111.9391031,40.6096698
Gilbert AZ,-111.7890239,33.3528259
Fort Pierce FL,-80.3256056,27.4467056
Mission TX,-98.3252932,26.2159066
Clarksville TN,-87.3588703,36.5277607
Compton CA,-118.226624,33.894927
Eagar AZ,-109.291475,34.1111581
Avondale AZ,-112.3405021,33.4359175
Muncie IN,-85.3865114,40.1936683
Terre Haute IN,-87.4139119,39.4667025
Houma LA,-90.7195348,29.5957696
St. Augustine FL,-81.3145395,29.8946952
Lincoln NE,-96.667821,40.8
Citrus Heights CA,-121.2810611,38.7071247
Midland TX,-102.0779482,31.9973662
Beaverton OR,-122.8037804,45.4871723
Marietta GA,-84.5496148,33.9528472
Kent WA,-122.2270272,47.3826903
Knoxville TN,-83.9210261,35.9603948
North Las Vegas NV,-115.1120958,36.2008371
Portsmouth VA,-76.2982742,36.8354258
